comp0_g1_i1	isogroup0
comp245_g1_i1	isogroup245
comp246_g1_i1	isogroup246
comp246_g1_i2	isogroup246
comp247_g1_i1	isogroup247
comp248_g1_i1	isogroup248
comp249_g1_i1	isogroup249
comp249_g1_i2	isogroup249
comp250_g1_i1	isogroup250
comp250_g1_i2	isogroup250
comp251_g1_i1	isogroup251
comp251_g1_i2	isogroup251
comp252_g1_i1	isogroup252
comp253_g1_i1	isogroup253
comp253_g1_i2	isogroup253
comp254_g1_i1	isogroup254
comp255_g1_i1	isogroup255
comp255_g1_i2	isogroup255
comp256_g1_i1	isogroup256
comp256_g1_i2	isogroup256
comp257_g1_i1	isogroup257
comp257_g1_i2	isogroup257
comp258_g1_i1	isogroup258
comp258_g1_i2	isogroup258
comp259_g1_i1	isogroup259
comp260_g1_i1	isogroup260
comp260_g1_i2	isogroup260
comp261_g1_i1	isogroup261
comp262_g1_i1	isogroup262
comp262_g1_i2	isogroup262
comp263_g1_i1	isogroup263
comp263_g1_i2	isogroup263
comp264_g1_i1	isogroup264
comp265_g1_i1	isogroup265
comp266_g1_i1	isogroup266
comp267_g1_i1	isogroup267
comp267_g1_i2	isogroup267
comp268_g1_i1	isogroup268
comp269_g1_i1	isogroup269
comp270_g1_i1	isogroup270
comp270_g1_i2	isogroup270
comp271_g1_i1	isogroup271
comp272_g1_i1	isogroup272
comp273_g1_i1	isogroup273
comp274_g1_i1	isogroup274
comp275_g1_i1	isogroup275
comp276_g1_i1	isogroup276
comp276_g1_i2	isogroup276
comp277_g1_i1	isogroup277
comp278_g1_i1	isogroup278
comp278_g1_i2	isogroup278
comp279_g1_i1	isogroup279
comp279_g1_i2	isogroup279
comp280_g1_i1	isogroup280
comp280_g1_i2	isogroup280
comp281_g1_i1	isogroup281
comp282_g1_i1	isogroup282
comp283_g1_i1	isogroup283
comp284_g1_i1	isogroup284
comp285_g1_i1	isogroup285
comp285_g1_i2	isogroup285
comp286_g1_i1	isogroup286
comp287_g1_i1	isogroup287
comp287_g1_i2	isogroup287
comp288_g1_i1	isogroup288
comp289_g1_i1	isogroup289
comp290_g1_i1	isogroup290
comp291_g1_i1	isogroup291
comp291_g1_i2	isogroup291
comp292_g1_i1	isogroup292
comp293_g1_i1	isogroup293
comp294_g1_i1	isogroup294
comp294_g1_i2	isogroup294
comp295_g1_i1	isogroup295
comp295_g1_i2	isogroup295
comp296_g1_i1	isogroup296
comp297_g1_i1	isogroup297
comp298_g1_i1	isogroup298
comp299_g1_i1	isogroup299
comp299_g1_i2	isogroup299
comp300_g1_i1	isogroup300
comp301_g1_i1	isogroup301
comp301_g1_i2	isogroup301
comp302_g1_i1	isogroup302
comp303_g1_i1	isogroup303
comp303_g1_i2	isogroup303
comp304_g1_i1	isogroup304
comp304_g1_i2	isogroup304
comp305_g1_i1	isogroup305
comp307_g1_i1	isogroup307
comp308_g1_i1	isogroup308
comp308_g1_i2	isogroup308
comp309_g1_i1	isogroup309
comp309_g1_i2	isogroup309
comp310_g1_i1	isogroup310
comp310_g1_i2	isogroup310
comp311_g1_i1	isogroup311
comp312_g1_i1	isogroup312
comp312_g1_i2	isogroup312
comp313_g1_i1	isogroup313
comp314_g1_i1	isogroup314
comp315_g1_i1	isogroup315
comp316_g1_i1	isogroup316
comp318_g1_i1	isogroup318
comp318_g1_i2	isogroup318
comp319_g1_i1	isogroup319
comp320_g1_i1	isogroup320
comp320_g1_i2	isogroup320
comp321_g1_i1	isogroup321
comp322_g1_i1	isogroup322
comp322_g1_i2	isogroup322
comp323_g1_i1	isogroup323
comp323_g1_i2	isogroup323
comp324_g1_i1	isogroup324
comp325_g1_i1	isogroup325
comp326_g1_i1	isogroup326
comp327_g1_i1	isogroup327
comp327_g1_i2	isogroup327
comp328_g1_i1	isogroup328
comp329_g1_i1	isogroup329
comp330_g1_i1	isogroup330
comp331_g1_i1	isogroup331
comp332_g1_i1	isogroup332
comp333_g1_i1	isogroup333
comp334_g1_i1	isogroup334
comp335_g1_i1	isogroup335
comp335_g1_i2	isogroup335
comp336_g1_i1	isogroup336
comp337_g1_i1	isogroup337
comp338_g1_i1	isogroup338
comp338_g1_i2	isogroup338
comp339_g1_i1	isogroup339
comp340_g1_i1	isogroup340
comp341_g1_i1	isogroup341
comp342_g1_i1	isogroup342
comp342_g1_i2	isogroup342
comp343_g1_i1	isogroup343
comp343_g1_i2	isogroup343
comp344_g1_i1	isogroup344
comp345_g1_i1	isogroup345
comp346_g1_i1	isogroup346
comp347_g1_i1	isogroup347
comp348_g1_i1	isogroup348
comp348_g1_i2	isogroup348
comp349_g1_i1	isogroup349
comp350_g1_i1	isogroup350
comp350_g1_i2	isogroup350
comp351_g1_i1	isogroup351
comp351_g1_i2	isogroup351
comp352_g1_i1	isogroup352
comp353_g1_i1	isogroup353
comp354_g1_i1	isogroup354
comp355_g1_i1	isogroup355
comp356_g1_i1	isogroup356
comp357_g1_i1	isogroup357
comp358_g1_i1	isogroup358
comp359_g1_i1	isogroup359
comp359_g1_i2	isogroup359
comp360_g1_i1	isogroup360
comp361_g1_i1	isogroup361
comp361_g1_i2	isogroup361
comp362_g1_i1	isogroup362
comp363_g1_i1	isogroup363
comp363_g1_i2	isogroup363
comp364_g1_i1	isogroup364
comp365_g1_i1	isogroup365
comp366_g1_i1	isogroup366
comp367_g1_i1	isogroup367
comp368_g1_i1	isogroup368
comp369_g1_i1	isogroup369
comp370_g1_i1	isogroup370
comp371_g1_i1	isogroup371
comp372_g1_i1	isogroup372
comp373_g1_i1	isogroup373
comp374_g1_i1	isogroup374
comp375_g1_i1	isogroup375
comp375_g1_i2	isogroup375
comp376_g1_i1	isogroup376
comp376_g1_i2	isogroup376
comp377_g1_i1	isogroup377
comp378_g1_i1	isogroup378
comp378_g1_i2	isogroup378
comp379_g1_i1	isogroup379
comp379_g1_i2	isogroup379
comp380_g1_i1	isogroup380
comp380_g1_i2	isogroup380
comp381_g1_i1	isogroup381
comp382_g1_i1	isogroup382
comp382_g1_i2	isogroup382
comp383_g1_i1	isogroup383
comp384_g1_i1	isogroup384
comp384_g1_i2	isogroup384
comp385_g1_i1	isogroup385
comp385_g1_i2	isogroup385
comp386_g1_i1	isogroup386
comp387_g1_i1	isogroup387
comp388_g1_i1	isogroup388
comp389_g1_i1	isogroup389
comp389_g1_i2	isogroup389
comp390_g1_i1	isogroup390
comp391_g1_i1	isogroup391
comp392_g1_i1	isogroup392
comp393_g1_i1	isogroup393
comp393_g1_i2	isogroup393
comp394_g1_i1	isogroup394
comp394_g1_i2	isogroup394
comp395_g1_i1	isogroup395
comp395_g1_i2	isogroup395
comp396_g1_i1	isogroup396
comp397_g1_i1	isogroup397
comp398_g1_i1	isogroup398
comp398_g2_i1	isogroup398
comp399_g1_i1	isogroup399
comp400_g1_i1	isogroup400
comp401_g1_i1	isogroup401
comp402_g1_i1	isogroup402
comp403_g1_i1	isogroup403
comp403_g1_i2	isogroup403
comp404_g1_i1	isogroup404
comp405_g1_i1	isogroup405
comp405_g1_i2	isogroup405
comp406_g1_i1	isogroup406
comp407_g1_i1	isogroup407
comp408_g1_i1	isogroup408
comp409_g1_i1	isogroup409
comp410_g1_i1	isogroup410
comp411_g1_i1	isogroup411
comp412_g1_i1	isogroup412
comp412_g1_i2	isogroup412
comp413_g1_i1	isogroup413
comp413_g1_i2	isogroup413
comp414_g1_i1	isogroup414
comp415_g1_i1	isogroup415
comp416_g1_i1	isogroup416
comp416_g1_i2	isogroup416
comp417_g1_i1	isogroup417
comp418_g1_i1	isogroup418
comp419_g1_i1	isogroup419
comp420_g1_i1	isogroup420
comp420_g1_i2	isogroup420
comp421_g1_i1	isogroup421
comp422_g1_i1	isogroup422
comp423_g1_i1	isogroup423
comp424_g1_i1	isogroup424
comp425_g1_i1	isogroup425
comp425_g2_i1	isogroup425
comp426_g1_i1	isogroup426
comp426_g1_i2	isogroup426
comp427_g1_i1	isogroup427
comp427_g1_i2	isogroup427
comp428_g1_i1	isogroup428
comp428_g1_i2	isogroup428
comp429_g1_i1	isogroup429
comp430_g1_i1	isogroup430
comp431_g1_i1	isogroup431
comp432_g1_i1	isogroup432
comp433_g1_i1	isogroup433
comp433_g1_i2	isogroup433
comp434_g1_i1	isogroup434
comp434_g1_i2	isogroup434
comp435_g1_i1	isogroup435
comp436_g1_i1	isogroup436
comp437_g1_i1	isogroup437
comp438_g1_i1	isogroup438
comp438_g1_i2	isogroup438
comp439_g1_i1	isogroup439
comp440_g1_i1	isogroup440
comp441_g1_i1	isogroup441
comp442_g1_i1	isogroup442
comp443_g1_i1	isogroup443
comp444_g1_i1	isogroup444
comp444_g1_i2	isogroup444
comp445_g1_i1	isogroup445
comp446_g1_i1	isogroup446
comp447_g1_i1	isogroup447
comp448_g1_i1	isogroup448
comp448_g1_i2	isogroup448
comp449_g1_i1	isogroup449
comp450_g1_i1	isogroup450
comp450_g1_i2	isogroup450
comp451_g1_i1	isogroup451
comp452_g1_i1	isogroup452
comp452_g1_i2	isogroup452
comp453_g1_i1	isogroup453
comp454_g1_i1	isogroup454
comp454_g1_i2	isogroup454
comp455_g1_i1	isogroup455
comp455_g1_i2	isogroup455
comp456_g1_i1	isogroup456
comp457_g1_i1	isogroup457
comp457_g1_i2	isogroup457
comp458_g1_i1	isogroup458
comp458_g1_i2	isogroup458
comp459_g1_i1	isogroup459
comp460_g1_i1	isogroup460
comp461_g1_i1	isogroup461
comp461_g1_i2	isogroup461
comp462_g1_i1	isogroup462
comp463_g1_i1	isogroup463
comp464_g1_i1	isogroup464
comp465_g1_i1	isogroup465
comp465_g1_i2	isogroup465
comp466_g1_i1	isogroup466
comp467_g1_i1	isogroup467
comp468_g1_i1	isogroup468
comp468_g1_i2	isogroup468
comp469_g1_i1	isogroup469
comp470_g1_i1	isogroup470
comp471_g1_i1	isogroup471
comp471_g1_i2	isogroup471
comp472_g1_i1	isogroup472
comp473_g1_i1	isogroup473
comp474_g1_i1	isogroup474
comp475_g1_i1	isogroup475
comp475_g1_i2	isogroup475
comp476_g1_i1	isogroup476
comp477_g1_i1	isogroup477
comp477_g1_i2	isogroup477
comp478_g1_i1	isogroup478
comp478_g1_i2	isogroup478
comp479_g1_i1	isogroup479
comp480_g1_i1	isogroup480
comp481_g1_i1	isogroup481
comp481_g1_i2	isogroup481
comp482_g1_i1	isogroup482
comp482_g1_i2	isogroup482
comp483_g1_i1	isogroup483
comp483_g1_i2	isogroup483
comp484_g1_i1	isogroup484
comp485_g1_i1	isogroup485
comp486_g1_i1	isogroup486
comp487_g1_i1	isogroup487
comp488_g1_i1	isogroup488
comp490_g1_i1	isogroup490
comp491_g1_i1	isogroup491
comp491_g1_i2	isogroup491
comp492_g1_i1	isogroup492
comp493_g1_i1	isogroup493
comp493_g1_i2	isogroup493
comp494_g1_i1	isogroup494
comp495_g1_i1	isogroup495
comp495_g1_i2	isogroup495
comp496_g1_i1	isogroup496
comp497_g1_i1	isogroup497
comp498_g1_i1	isogroup498
comp499_g1_i1	isogroup499
comp500_g1_i1	isogroup500
comp500_g1_i2	isogroup500
comp501_g1_i1	isogroup501
comp501_g1_i2	isogroup501
comp502_g1_i1	isogroup502
comp502_g1_i2	isogroup502
comp503_g1_i1	isogroup503
comp504_g1_i1	isogroup504
comp504_g1_i2	isogroup504
comp505_g1_i1	isogroup505
comp505_g1_i2	isogroup505
comp506_g1_i1	isogroup506
comp506_g1_i2	isogroup506
comp507_g1_i1	isogroup507
comp507_g1_i2	isogroup507
comp508_g1_i1	isogroup508
comp508_g1_i2	isogroup508
comp509_g1_i1	isogroup509
comp510_g1_i1	isogroup510
comp511_g1_i1	isogroup511
comp512_g1_i1	isogroup512
comp512_g1_i2	isogroup512
comp513_g1_i1	isogroup513
comp513_g1_i2	isogroup513
comp514_g1_i1	isogroup514
comp514_g1_i2	isogroup514
comp515_g1_i1	isogroup515
comp516_g1_i1	isogroup516
comp517_g1_i1	isogroup517
comp519_g1_i1	isogroup519
comp519_g1_i2	isogroup519
comp520_g1_i1	isogroup520
comp521_g1_i1	isogroup521
comp521_g1_i2	isogroup521
comp522_g1_i1	isogroup522
comp523_g1_i1	isogroup523
comp523_g1_i2	isogroup523
comp524_g1_i1	isogroup524
comp525_g1_i1	isogroup525
comp525_g1_i2	isogroup525
comp526_g1_i1	isogroup526
comp527_g1_i1	isogroup527
comp528_g1_i1	isogroup528
comp529_g1_i1	isogroup529
comp530_g1_i1	isogroup530
comp531_g1_i1	isogroup531
comp532_g1_i1	isogroup532
comp533_g1_i1	isogroup533
comp533_g1_i2	isogroup533
comp534_g1_i1	isogroup534
comp535_g1_i1	isogroup535
comp535_g1_i2	isogroup535
comp536_g1_i1	isogroup536
comp536_g1_i2	isogroup536
comp537_g1_i1	isogroup537
comp537_g1_i2	isogroup537
comp538_g1_i1	isogroup538
comp538_g1_i2	isogroup538
comp539_g1_i1	isogroup539
comp540_g1_i1	isogroup540
comp540_g1_i2	isogroup540
comp541_g1_i1	isogroup541
comp542_g1_i1	isogroup542
comp542_g1_i2	isogroup542
comp543_g1_i1	isogroup543
comp544_g1_i1	isogroup544
comp545_g1_i1	isogroup545
comp545_g1_i2	isogroup545
comp546_g1_i1	isogroup546
comp547_g1_i1	isogroup547
comp548_g1_i1	isogroup548
comp548_g1_i2	isogroup548
comp549_g1_i1	isogroup549
comp549_g1_i2	isogroup549
comp550_g1_i1	isogroup550
comp550_g1_i2	isogroup550
comp551_g1_i1	isogroup551
comp552_g1_i1	isogroup552
comp553_g1_i1	isogroup553
comp553_g1_i2	isogroup553
comp554_g1_i1	isogroup554
comp554_g1_i2	isogroup554
comp556_g1_i1	isogroup556
comp556_g1_i2	isogroup556
comp557_g1_i1	isogroup557
comp558_g1_i1	isogroup558
comp558_g1_i2	isogroup558
comp559_g1_i1	isogroup559
comp559_g1_i2	isogroup559
comp560_g1_i1	isogroup560
comp560_g1_i2	isogroup560
comp561_g1_i1	isogroup561
comp561_g1_i2	isogroup561
comp562_g1_i1	isogroup562
comp562_g1_i2	isogroup562
comp563_g1_i1	isogroup563
comp563_g1_i2	isogroup563
comp564_g1_i1	isogroup564
comp564_g1_i2	isogroup564
comp565_g1_i1	isogroup565
comp566_g1_i1	isogroup566
comp567_g1_i1	isogroup567
comp567_g1_i2	isogroup567
comp568_g1_i1	isogroup568
comp568_g1_i2	isogroup568
comp569_g1_i1	isogroup569
comp570_g1_i1	isogroup570
comp570_g1_i2	isogroup570
comp571_g1_i1	isogroup571
comp571_g1_i2	isogroup571
comp572_g1_i1	isogroup572
comp573_g1_i1	isogroup573
comp573_g1_i2	isogroup573
comp574_g1_i1	isogroup574
comp575_g1_i1	isogroup575
comp575_g1_i2	isogroup575
comp576_g1_i1	isogroup576
comp576_g1_i2	isogroup576
comp577_g1_i1	isogroup577
comp577_g1_i2	isogroup577
comp578_g1_i1	isogroup578
comp579_g1_i1	isogroup579
comp580_g1_i1	isogroup580
comp580_g1_i2	isogroup580
comp581_g1_i1	isogroup581
comp581_g1_i2	isogroup581
comp582_g1_i1	isogroup582
comp583_g1_i1	isogroup583
comp583_g1_i2	isogroup583
comp584_g1_i1	isogroup584
comp585_g1_i1	isogroup585
comp585_g1_i2	isogroup585
comp586_g1_i1	isogroup586
comp586_g1_i2	isogroup586
comp587_g1_i1	isogroup587
comp588_g1_i1	isogroup588
comp588_g1_i2	isogroup588
comp589_g1_i1	isogroup589
comp590_g1_i1	isogroup590
comp590_g1_i2	isogroup590
comp591_g1_i1	isogroup591
comp592_g1_i1	isogroup592
comp592_g1_i2	isogroup592
comp593_g1_i1	isogroup593
comp594_g1_i1	isogroup594
comp594_g1_i2	isogroup594
comp595_g1_i1	isogroup595
comp596_g1_i1	isogroup596
comp597_g1_i1	isogroup597
comp598_g1_i1	isogroup598
comp599_g1_i1	isogroup599
comp600_g1_i1	isogroup600
comp600_g1_i2	isogroup600
comp602_g1_i1	isogroup602
comp602_g1_i2	isogroup602
comp603_g1_i1	isogroup603
comp604_g1_i1	isogroup604
comp605_g1_i1	isogroup605
comp606_g1_i1	isogroup606
comp607_g1_i1	isogroup607
comp608_g1_i1	isogroup608
comp609_g1_i1	isogroup609
comp609_g1_i2	isogroup609
comp610_g1_i1	isogroup610
comp611_g1_i1	isogroup611
comp612_g1_i1	isogroup612
comp613_g1_i1	isogroup613
comp613_g1_i2	isogroup613
comp614_g1_i1	isogroup614
comp615_g1_i1	isogroup615
comp615_g1_i2	isogroup615
comp616_g1_i1	isogroup616
comp616_g1_i2	isogroup616
comp617_g1_i1	isogroup617
comp618_g1_i1	isogroup618
comp619_g1_i1	isogroup619
comp621_g1_i1	isogroup621
comp621_g1_i2	isogroup621
comp622_g1_i1	isogroup622
comp623_g1_i1	isogroup623
comp623_g1_i2	isogroup623
comp624_g1_i1	isogroup624
